date,name,type
2025-12-25,Natal,feriado_nacional
2026-01-01,Ano Novo,feriado_nacional
2026-02-17,Carnaval,feriado_facultativo
2026-04-03,Sexta-feira Santa,feriado_nacional
2026-04-05,Páscoa,feriado_nacional
2026-04-25,Dia da Liberdade,feriado_nacional
2026-05-01,Dia do Trabalhador,feriado_nacional
2026-06-04,Corpo de Deus,feriado_nacional
2026-06-10,Dia de Portugal,feriado_nacional
2026-08-15,Assunção de Nossa Senhora,feriado_nacional
2026-10-05,Implantação da República,feriado_nacional
2026-11-01,Dia de Todos os Santos,feriado_nacional
2026-12-01,Restauração da Independência,feriado_nacional
2026-12-08,Imaculada Conceição,feriado_nacional
2026-12-25,Natal,feriado_nacional
2027-01-01,Ano Novo,feriado_nacional
