server_id,day,start_h,end_h
DEV_WebPortal_01,0,18,24
DEV_WebPortal_01,1,18,24
DEV_WebPortal_01,2,18,24
DEV_WebPortal_01,3,18,24
DEV_WebPortal_01,4,18,24
DEV_WebPortal_01,5,8,24
DEV_WebPortal_01,6,8,24
DEV_WebPortal_02,0,18,24
DEV_WebPortal_02,1,18,24
DEV_WebPortal_02,2,18,24
DEV_WebPortal_02,3,18,24
DEV_WebPortal_02,4,18,24
DEV_WebPortal_02,5,8,24
DEV_WebPortal_02,6,8,24
DEV_ERP_01,0,18,24
DEV_ERP_01,1,18,24
DEV_ERP_01,2,18,24
DEV_ERP_01,3,18,24
DEV_ERP_01,4,18,24
DEV_ERP_01,5,8,24
DEV_ERP_01,6,8,24
DEV_ERP_02,0,18,24
DEV_ERP_02,1,18,24
DEV_ERP_02,2,18,24
DEV_ERP_02,3,18,24
DEV_ERP_02,4,18,24
DEV_ERP_02,5,8,24
DEV_ERP_02,6,8,24
DEV_Analytics_01,0,18,24
DEV_Analytics_01,1,18,24
DEV_Analytics_01,2,18,24
DEV_Analytics_01,3,18,24
DEV_Analytics_01,4,18,24
DEV_Analytics_01,5,8,24
DEV_Analytics_01,6,8,24
DEV_Analytics_02,0,18,24
DEV_Analytics_02,1,18,24
DEV_Analytics_02,2,18,24
DEV_Analytics_02,3,18,24
DEV_Analytics_02,4,18,24
DEV_Analytics_02,5,8,24
DEV_Analytics_02,6,8,24
DEV_Email_01,0,18,24
DEV_Email_01,1,18,24
DEV_Email_01,2,18,24
DEV_Email_01,3,18,24
DEV_Email_01,4,18,24
DEV_Email_01,5,8,24
DEV_Email_01,6,8,24
DEV_Email_02,0,18,24
DEV_Email_02,1,18,24
DEV_Email_02,2,18,24
DEV_Email_02,3,18,24
DEV_Email_02,4,18,24
DEV_Email_02,5,8,24
DEV_Email_02,6,8,24
DEV_FileServices_01,0,18,24
DEV_FileServices_01,1,18,24
DEV_FileServices_01,2,18,24
DEV_FileServices_01,3,18,24
DEV_FileServices_01,4,18,24
DEV_FileServices_01,5,8,24
DEV_FileServices_01,6,8,24
DEV_FileServices_02,0,18,24
DEV_FileServices_02,1,18,24
DEV_FileServices_02,2,18,24
DEV_FileServices_02,3,18,24
DEV_FileServices_02,4,18,24
DEV_FileServices_02,5,8,24
DEV_FileServices_02,6,8,24
DEV_CRM_01,0,18,24
DEV_CRM_01,1,18,24
DEV_CRM_01,2,18,24
DEV_CRM_01,3,18,24
DEV_CRM_01,4,18,24
DEV_CRM_01,5,8,24
DEV_CRM_01,6,8,24
DEV_CRM_02,0,18,24
DEV_CRM_02,1,18,24
DEV_CRM_02,2,18,24
DEV_CRM_02,3,18,24
DEV_CRM_02,4,18,24
DEV_CRM_02,5,8,24
DEV_CRM_02,6,8,24
DEV_Database_01,0,18,24
DEV_Database_01,1,18,24
DEV_Database_01,2,18,24
DEV_Database_01,3,18,24
DEV_Database_01,4,18,24
DEV_Database_01,5,8,24
DEV_Database_01,6,8,24
DEV_Database_02,0,18,24
DEV_Database_02,1,18,24
DEV_Database_02,2,18,24
DEV_Database_02,3,18,24
DEV_Database_02,4,18,24
DEV_Database_02,5,8,24
DEV_Database_02,6,8,24
DEV_Security_01,0,18,24
DEV_Security_01,1,18,24
DEV_Security_01,2,18,24
DEV_Security_01,3,18,24
DEV_Security_01,4,18,24
DEV_Security_01,5,8,24
DEV_Security_01,6,8,24
DEV_Security_02,0,18,24
DEV_Security_02,1,18,24
DEV_Security_02,2,18,24
DEV_Security_02,3,18,24
DEV_Security_02,4,18,24
DEV_Security_02,5,8,24
DEV_Security_02,6,8,24
DEV_Integration_01,0,18,24
DEV_Integration_01,1,18,24
DEV_Integration_01,2,18,24
DEV_Integration_01,3,18,24
DEV_Integration_01,4,18,24
DEV_Integration_01,5,8,24
DEV_Integration_01,6,8,24
DEV_Integration_02,0,18,24
DEV_Integration_02,1,18,24
DEV_Integration_02,2,18,24
DEV_Integration_02,3,18,24
DEV_Integration_02,4,18,24
DEV_Integration_02,5,8,24
DEV_Integration_02,6,8,24
DEV_Monitoring_01,0,18,24
DEV_Monitoring_01,1,18,24
DEV_Monitoring_01,2,18,24
DEV_Monitoring_01,3,18,24
DEV_Monitoring_01,4,18,24
DEV_Monitoring_01,5,8,24
DEV_Monitoring_01,6,8,24
DEV_Monitoring_02,0,18,24
DEV_Monitoring_02,1,18,24
DEV_Monitoring_02,2,18,24
DEV_Monitoring_02,3,18,24
DEV_Monitoring_02,4,18,24
DEV_Monitoring_02,5,8,24
DEV_Monitoring_02,6,8,24
TEST_WebPortal_01,0,22,24
TEST_WebPortal_01,1,22,24
TEST_WebPortal_01,2,22,24
TEST_WebPortal_01,3,22,24
TEST_WebPortal_01,4,22,24
