id,severity,epss,software,version,ops
CVE-2022-23048,HIGH,0.04582,exponentcms:exponent_cms,2.6.0,2
CVE-2020-15334,MEDIUM,0.00585,zyxel:cloudcnm_secumanager,3.1.0,1
CVE-2020-17518,HIGH,0.93183,apache:flink,1.11.3,1
CVE-2021-23356,CRITICAL,0.01432,kill-process-by-name_project:kill-process-by-name,,1
CVE-2020-35586,HIGH,0.00343,mersive:solstice_pod,3.0.3,1
CVE-2022-4908,MEDIUM,0.00483,google:chrome,107.0.5304.62,1
CVE-2021-39327,MEDIUM,0.91276,ait-pro:bulletproof_security,5.1,2
CVE-2022-45481,CRITICAL,0.02647,lzmouse:lazy_mouse,2.0.1,2
CVE-2014-5468,HIGH,0.65256,getrailo:railo,4.2.1.000,3
CVE-2021-46379,MEDIUM,0.48333,dlink:dir-850l,1.08trb03,1
CVE-2022-39373,MEDIUM,0.00089,glpi-project:glpi,10.0.0,1
CVE-2020-10907,HIGH,0.03065,foxitsoftware:phantompdf,9.7.1.29511,2
CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607,1
CVE-2022-40851,CRITICAL,0.0991,tenda:ac15_firmware,15.03.05.19,3
CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1,1
CVE-2022-4504,HIGH,0.00147,open-emr:openemr,7.0.0.2,2
CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809,1
CVE-2020-3723,HIGH,0.15524,adobe:framemaker,2019.0.4,2
CVE-2022-29470,HIGH,0.00062,intel:dynamic_tuning_technology,8.7.10400.15482,2
CVE-2021-26747,CRITICAL,0.24398,netis-systems:wf2411,1.1.29629,1
CVE-2022-38108,HIGH,0.8543,solarwinds:orion_platform,2020.2.6,1
CVE-2021-42002,CRITICAL,0.12085,zohocorp:manageengine_admanager_plus,7.1,2
CVE-2020-18330,CRITICAL,0.00466,chinamobileltd:gpn2.4p21-c-cn,0.05,1
CVE-2013-0803,CRITICAL,0.83939,polarbear_cms_project:polarbear_cms,2.5,2
CVE-2021-42667,CRITICAL,0.72362,online_event_booking_and_reservation_system_project:online_event_booking_and_reservation_system,2.3.0,2
CVE-2021-40407,HIGH,0.47291,reolink:rlc-410w,3.0.0.136_20121102,1
CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0,1
CVE-2021-44207,HIGH,0.11853,acclaimsystems:usaherds,7.4.0.1,3
CVE-2021-27306,HIGH,0.01471,konghq:kong_gateway,2.3.2.0,1
CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7,2
CVE-2020-7800,HIGH,0.03351,mysyngeryss:husky_rtu_6049-e70,5.0,2
CVE-2021-32669,MEDIUM,0.00374,typo3:typo3,10.0.0,3
CVE-2020-24227,HIGH,0.00617,playgroundsessions:playground_sessions,2.5.582,1
CVE-2021-44735,CRITICAL,0.12552,lexmark:b2236,cslbl.076.294,2
CVE-2021-44138,HIGH,0.81625,caucho:resin,4.0.52,1
CVE-2022-41937,HIGH,0.0234,xwiki:xwiki,14.5,2
CVE-2022-24193,CRITICAL,0.22389,icewhale:casaos,0.2.7,2
CVE-2020-24914,CRITICAL,0.37721,qcubed:qcubed,3.1.1,2
CVE-2020-9752,CRITICAL,0.00504,naver:cloud_explorer,2.2.2.11,2
CVE-2021-42669,CRITICAL,0.44223,engineers_online_portal_project:engineers_online_portal,,1
CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10,1
CVE-2021-26293,CRITICAL,0.507,afterlogic:aurora,8.5.3,1
CVE-2020-15636,CRITICAL,0.41295,netgear:r6700,1.0.4.98,2
CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9,3
CVE-2014-8945,CRITICAL,0.17757,piwigo:lexiglot,2014-11-20,3
CVE-2020-13855,HIGH,0.37446,pandorafms:pandora_fms,7.44,3
CVE-2020-1956,HIGH,0.93749,apache:kylin,2.3.0,2
CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4,2
CVE-2022-26023,MEDIUM,0.00166,inhandnetworks:ir302_firmware,3.5.45,1
CVE-2022-27274,CRITICAL,0.01345,inhandnetworks:inrouter_900_firmware,1.0.0.r11700,1
CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0,1
CVE-2020-25107,CRITICAL,0.16481,ethernut:nut\/os,5.1,2
CVE-2022-31814,CRITICAL,0.94358,netgate:pfblockerng,2.1.4_26,2
CVE-2020-0929,HIGH,0.20663,microsoft:sharepoint_enterprise_server,2010,1
CVE-2021-27931,CRITICAL,0.86572,lumis:lumis_experience_platform,10.0.0,3
CVE-2022-2488,CRITICAL,0.94137,wavlink:wl-wn535k2,,2
CVE-2021-33904,MEDIUM,0.06903,accela:civic_platform,21.1,3
CVE-2022-2334,HIGH,0.56841,softing:edgeaggregator,1.22,1
CVE-2013-7052,CRITICAL,0.427,dlink:dir-100,4.03b07,1
CVE-2020-6094,HIGH,0.01431,accusoft:imagegear,19.4.0,2
CVE-2021-38518,HIGH,0.01144,netgear:rax200,1.0.4.120,2
CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3,1
CVE-2019-20873,MEDIUM,0.00327,mattermost:mattermost_server,4.10.8,3
CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,,1
CVE-2021-25144,HIGH,0.01444,arubanetworks:instant,6.4.0.0,1
CVE-2019-17357,MEDIUM,0.16157,cacti:cacti,1.2.7,1
CVE-2022-4616,CRITICAL,0.10781,deltaww:dx-3021l9_firmware,1.24,1
CVE-2022-44356,HIGH,0.76548,wavlink:wl-wn531g3_firmware,m31g3.v5030.200325,2
CVE-2020-10892,HIGH,0.01624,foxitsoftware:phantompdf,9.7.1.29511,2
CVE-2020-20392,CRITICAL,0.01031,txjia:imcat,5.2,1
CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18,2
CVE-2022-2552,MEDIUM,0.86532,snapcreek:duplicator,1.4.7.1,2
CVE-2021-39289,HIGH,0.00172,netmodule:nb1600,4.3.0.113,1
CVE-2021-0090,HIGH,0.00154,intel:driver_\&_support_assistant,20.11.50.9,2
CVE-2022-44215,MEDIUM,0.01469,southrivertech:titan_ftp_server,19.0,1
CVE-2020-24337,HIGH,0.00447,altran:picotcp,1.7.0,3
CVE-2021-34082,CRITICAL,0.13689,proctree_project:proctree,0.1.1,2
CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06,3
CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607,1
CVE-2020-15639,CRITICAL,0.19374,marvell:qconvergeconsole,5.5.00.73,1
CVE-2022-45402,MEDIUM,0.37664,apache:airflow,2.4.3,1
CVE-2021-44449,HIGH,0.00418,siemens:jt_open_toolkit,10.8.1.1,2
CVE-2020-24293,HIGH,0.01509,freeimage_project:freeimage,3.19.0,1
CVE-2022-25485,HIGH,0.47584,cuppacms:cuppacms,1.0,2
CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0,1
CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0,1
CVE-2020-18780,MEDIUM,0.00052,nasm:netwide_assembler,2.14.02,1
CVE-2021-37832,CRITICAL,0.1308,digitaldruid:hoteldruid,3.0.2,2
CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103,1
CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607,1
CVE-2021-42131,HIGH,0.40902,ivanti:avalanche,6.3.3,2
CVE-2022-24405,CRITICAL,0.08004,open-xchange:ox_app_suite,7.10.6,3
CVE-2022-0592,CRITICAL,0.69831,mapsvg:mapsvg,6.2.20,1
CVE-2022-1933,MEDIUM,0.14451,collect_and_deliver_interface_for_woocommerce_project:collect_and_deliver_interface_for_woocommerce,5.1.9,3
CVE-2022-26271,HIGH,0.21262,74cms:74cms,3.4.1,3
CVE-2021-20080,MEDIUM,0.35338,zohocorp:manageengine_servicedesk_plus,10.0,2
CVE-2020-36765,MEDIUM,0.00126,google:chrome,85.0.4183.83,1
CVE-2020-25223,CRITICAL,0.94415,sophos:unified_threat_management,9.511,1
CVE-2022-28956,CRITICAL,0.40913,dlink:dir-816l_firmware,206b01,1
CVE-2022-36446,CRITICAL,0.93797,webmin:webmin,1.997,2
