server_id,cve_id,severity,epss,software,version
Srv_DEV_001,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_UAT_001,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_PROD_001,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_DEV_002,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_UAT_002,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_PROD_002,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_DEV_002,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_002,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_002,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_002,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_UAT_002,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_PROD_002,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_DEV_003,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_UAT_003,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_PROD_003,CVE-2021-22017,MEDIUM,0.79163,vmware:vcenter_server,6.7
Srv_DEV_003,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_003,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_003,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_003,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_UAT_003,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_PROD_003,CVE-2022-2992,CRITICAL,0.93593,gitlab:gitlab,11.10
Srv_DEV_004,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_UAT_004,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_PROD_004,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_DEV_005,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_UAT_005,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_PROD_005,CVE-2021-44515,CRITICAL,0.94311,zohocorp:manageengine_desktop_central,10.1.2127.18
Srv_DEV_005,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_UAT_005,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_PROD_005,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_DEV_006,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_UAT_006,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_PROD_006,CVE-2021-20021,CRITICAL,0.8495,microsoft:windows,10.0.9.6103
Srv_DEV_007,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_UAT_007,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_PROD_007,CVE-2022-27196,MEDIUM,0.19967,jenkins:favorite,2.4.1
Srv_DEV_007,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_UAT_007,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_PROD_007,CVE-2021-29621,MEDIUM,0.0029,apache:airflow,1.10.0
Srv_DEV_007,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_UAT_007,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_PROD_007,CVE-2020-0607,MEDIUM,0.175,microsoft:windows_10,1607
Srv_DEV_008,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_UAT_008,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_PROD_008,CVE-2020-6339,MEDIUM,0.00373,sap:3d_visual_enterprise_viewer,9
Srv_DEV_008,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_UAT_008,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_PROD_008,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_DEV_009,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_UAT_009,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_PROD_009,CVE-2020-1240,HIGH,0.32735,microsoft:365_apps,
Srv_DEV_009,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_009,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_009,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_009,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_UAT_009,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_PROD_009,CVE-2022-29063,CRITICAL,0.12147,apache:ofbiz,18.12.06
Srv_DEV_010,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_010,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_010,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_010,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_UAT_010,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_PROD_010,CVE-2020-3722,HIGH,0.15524,adobe:framemaker,2019.0.4
Srv_DEV_010,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_UAT_010,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_PROD_010,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
Srv_DEV_011,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_UAT_011,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_PROD_011,CVE-2022-44574,HIGH,0.49696,ivanti:avalanche,6.4.0
Srv_DEV_011,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_UAT_011,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_PROD_011,CVE-2021-43222,HIGH,0.08992,microsoft:windows_10,1607
Srv_DEV_011,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_UAT_011,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_PROD_011,CVE-2014-5007,CRITICAL,0.51612,zohocorp:manageengine_desktop_central,7.0
Srv_DEV_012,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_UAT_012,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_PROD_012,CVE-2022-34258,MEDIUM,0.41128,adobe:commerce,2.3.0
Srv_DEV_012,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_UAT_012,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_PROD_012,CVE-2021-42132,HIGH,0.51662,ivanti:avalanche,6.3.3
Srv_DEV_012,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_UAT_012,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_PROD_012,CVE-2022-41076,HIGH,0.37991,microsoft:powershell,1607
Srv_DEV_013,CVE-2022-32230,HIGH,0.04549,microsoft:windows_10,1809
