server_id,software_id,version,criticality
Srv_DEV_001,SQL Server,2019,10.0
Srv_UAT_001,SQL Server,2019,10.0
Srv_PROD_001,SQL Server,2019,10.0
Srv_DEV_002,SQL Server,2019,10.0
Srv_UAT_002,SQL Server,2019,10.0
Srv_PROD_002,SQL Server,2019,10.0
Srv_DEV_003,SQL Server,2019,10.0
Srv_UAT_003,SQL Server,2019,10.0
Srv_PROD_003,SQL Server,2019,10.0
Srv_DEV_004,SQL Server,2019,10.0
Srv_UAT_004,SQL Server,2019,10.0
Srv_PROD_004,SQL Server,2019,10.0
Srv_DEV_005,SQL Server,2019,10.0
Srv_UAT_005,SQL Server,2019,10.0
Srv_PROD_005,SQL Server,2019,10.0
Srv_DEV_006,SQL Server,2019,10.0
Srv_UAT_006,SQL Server,2019,10.0
Srv_PROD_006,SQL Server,2019,10.0
Srv_DEV_007,SQL Server,2019,10.0
Srv_UAT_007,SQL Server,2019,10.0
Srv_PROD_007,SQL Server,2019,10.0
Srv_DEV_008,SQL Server,2019,10.0
Srv_UAT_008,SQL Server,2019,10.0
Srv_PROD_008,SQL Server,2019,10.0
Srv_DEV_009,SQL Server,2019,10.0
Srv_UAT_009,SQL Server,2019,10.0
Srv_PROD_009,SQL Server,2019,10.0
Srv_DEV_010,SQL Server,2019,10.0
Srv_UAT_010,SQL Server,2019,10.0
Srv_PROD_010,SQL Server,2019,10.0
Srv_DEV_011,SQL Server,2019,10.0
Srv_UAT_011,SQL Server,2019,10.0
Srv_PROD_011,SQL Server,2019,10.0
Srv_DEV_012,SQL Server,2019,10.0
Srv_UAT_012,SQL Server,2019,10.0
Srv_PROD_012,SQL Server,2019,10.0
Srv_DEV_013,SQL Server,2019,10.0
Srv_UAT_013,SQL Server,2019,10.0
Srv_PROD_013,SQL Server,2019,10.0
Srv_DEV_014,SQL Server,2019,10.0
Srv_UAT_014,SQL Server,2019,10.0
Srv_PROD_014,SQL Server,2019,10.0
Srv_DEV_015,SQL Server,2019,10.0
Srv_UAT_015,SQL Server,2019,10.0
Srv_PROD_015,SQL Server,2019,10.0
Srv_DEV_016,SQL Server,2019,10.0
Srv_UAT_016,SQL Server,2019,10.0
Srv_PROD_016,SQL Server,2019,10.0
Srv_DEV_017,SQL Server,2019,10.0
Srv_UAT_017,SQL Server,2019,10.0
Srv_PROD_017,SQL Server,2019,10.0
Srv_DEV_018,SQL Server,2019,10.0
Srv_UAT_018,SQL Server,2019,10.0
Srv_PROD_018,SQL Server,2019,10.0
Srv_DEV_019,SQL Server,2019,10.0
Srv_UAT_019,SQL Server,2019,10.0
Srv_PROD_019,SQL Server,2019,10.0
Srv_DEV_020,SQL Server,2019,10.0
Srv_UAT_020,SQL Server,2019,10.0
Srv_PROD_020,SQL Server,2019,10.0
Srv_DEV_021,Active Directory,2016+,10.0
Srv_UAT_021,Active Directory,2016+,10.0
Srv_PROD_021,Active Directory,2016+,10.0
Srv_DEV_022,Active Directory,2016+,10.0
Srv_UAT_022,Active Directory,2016+,10.0
Srv_PROD_022,Active Directory,2016+,10.0
Srv_DEV_023,Active Directory,2016+,10.0
Srv_UAT_023,Active Directory,2016+,10.0
Srv_PROD_023,Active Directory,2016+,10.0
Srv_DEV_024,Active Directory,2016+,10.0
Srv_UAT_024,Active Directory,2016+,10.0
Srv_PROD_024,Active Directory,2016+,10.0
Srv_DEV_025,Active Directory,2016+,10.0
Srv_UAT_025,Active Directory,2016+,10.0
Srv_PROD_025,Active Directory,2016+,10.0
Srv_DEV_026,Active Directory,2016+,10.0
Srv_UAT_026,Active Directory,2016+,10.0
Srv_PROD_026,Active Directory,2016+,10.0
Srv_DEV_027,Active Directory,2016+,10.0
Srv_UAT_027,Active Directory,2016+,10.0
Srv_PROD_027,Active Directory,2016+,10.0
Srv_DEV_028,Active Directory,2016+,10.0
Srv_UAT_028,Active Directory,2016+,10.0
Srv_PROD_028,Active Directory,2016+,10.0
Srv_DEV_029,Active Directory,2016+,10.0
Srv_UAT_029,Active Directory,2016+,10.0
Srv_PROD_029,Active Directory,2016+,10.0
Srv_DEV_030,Active Directory,2016+,10.0
Srv_UAT_030,Active Directory,2016+,10.0
Srv_PROD_030,Active Directory,2016+,10.0
Srv_DEV_031,Active Directory,2016+,10.0
Srv_UAT_031,Active Directory,2016+,10.0
Srv_PROD_031,Active Directory,2016+,10.0
Srv_DEV_032,Active Directory,2016+,10.0
Srv_UAT_032,Active Directory,2016+,10.0
Srv_PROD_032,Active Directory,2016+,10.0
Srv_DEV_033,Active Directory,2016+,10.0
Srv_UAT_033,Active Directory,2016+,10.0
Srv_PROD_033,Active Directory,2016+,10.0
Srv_DEV_034,Active Directory,2016+,10.0
Srv_UAT_034,Active Directory,2016+,10.0
Srv_PROD_034,Active Directory,2016+,10.0
Srv_DEV_035,Active Directory,2016+,10.0
Srv_UAT_035,Active Directory,2016+,10.0
Srv_PROD_035,Active Directory,2016+,10.0
Srv_DEV_036,Active Directory,2016+,10.0
Srv_UAT_036,Active Directory,2016+,10.0
Srv_PROD_036,Active Directory,2016+,10.0
Srv_DEV_037,Active Directory,2016+,10.0
Srv_UAT_037,Active Directory,2016+,10.0
Srv_PROD_037,Active Directory,2016+,10.0
Srv_DEV_038,Active Directory,2016+,10.0
Srv_UAT_038,Active Directory,2016+,10.0
Srv_PROD_038,Active Directory,2016+,10.0
Srv_DEV_039,Active Directory,2016+,10.0
Srv_UAT_039,Active Directory,2016+,10.0
