server_id,day,start_h,end_h
Srv_DEV_001,5,0,24
Srv_DEV_001,6,0,24
Srv_UAT_001,5,0,24
Srv_UAT_001,6,0,24
Srv_PROD_001,1,1,5
Srv_PROD_001,2,1,5
Srv_PROD_001,3,1,5
Srv_PROD_001,4,1,5
Srv_DEV_002,5,0,24
Srv_DEV_002,6,0,24
Srv_UAT_002,5,0,24
Srv_UAT_002,6,0,24
Srv_PROD_002,1,1,5
Srv_PROD_002,2,1,5
Srv_PROD_002,3,1,5
Srv_PROD_002,4,1,5
Srv_DEV_003,5,0,24
Srv_DEV_003,6,0,24
Srv_UAT_003,5,0,24
Srv_UAT_003,6,0,24
Srv_PROD_003,1,1,5
Srv_PROD_003,2,1,5
Srv_PROD_003,3,1,5
Srv_PROD_003,4,1,5
Srv_DEV_004,5,0,24
Srv_DEV_004,6,0,24
Srv_UAT_004,5,0,24
Srv_UAT_004,6,0,24
Srv_PROD_004,1,1,5
Srv_PROD_004,2,1,5
Srv_PROD_004,3,1,5
Srv_PROD_004,4,1,5
Srv_DEV_005,5,0,24
Srv_DEV_005,6,0,24
Srv_UAT_005,5,0,24
Srv_UAT_005,6,0,24
Srv_PROD_005,1,1,5
Srv_PROD_005,2,1,5
Srv_PROD_005,3,1,5
Srv_PROD_005,4,1,5
Srv_DEV_006,5,0,24
Srv_DEV_006,6,0,24
Srv_UAT_006,5,0,24
Srv_UAT_006,6,0,24
Srv_PROD_006,1,1,5
Srv_PROD_006,2,1,5
Srv_PROD_006,3,1,5
Srv_PROD_006,4,1,5
Srv_DEV_007,5,0,24
Srv_DEV_007,6,0,24
Srv_UAT_007,5,0,24
Srv_UAT_007,6,0,24
Srv_PROD_007,1,1,5
Srv_PROD_007,2,1,5
Srv_PROD_007,3,1,5
Srv_PROD_007,4,1,5
Srv_DEV_008,5,0,24
Srv_DEV_008,6,0,24
Srv_UAT_008,5,0,24
Srv_UAT_008,6,0,24
Srv_PROD_008,1,1,5
Srv_PROD_008,2,1,5
Srv_PROD_008,3,1,5
Srv_PROD_008,4,1,5
Srv_DEV_009,5,0,24
Srv_DEV_009,6,0,24
Srv_UAT_009,5,0,24
Srv_UAT_009,6,0,24
Srv_PROD_009,1,1,5
Srv_PROD_009,2,1,5
Srv_PROD_009,3,1,5
Srv_PROD_009,4,1,5
Srv_DEV_010,5,0,24
Srv_DEV_010,6,0,24
Srv_UAT_010,5,0,24
Srv_UAT_010,6,0,24
Srv_PROD_010,1,1,5
Srv_PROD_010,2,1,5
Srv_PROD_010,3,1,5
Srv_PROD_010,4,1,5
Srv_DEV_011,5,0,24
Srv_DEV_011,6,0,24
Srv_UAT_011,5,0,24
Srv_UAT_011,6,0,24
Srv_PROD_011,1,1,5
Srv_PROD_011,2,1,5
Srv_PROD_011,3,1,5
Srv_PROD_011,4,1,5
Srv_DEV_012,5,0,24
Srv_DEV_012,6,0,24
Srv_UAT_012,5,0,24
Srv_UAT_012,6,0,24
Srv_PROD_012,1,1,5
Srv_PROD_012,2,1,5
Srv_PROD_012,3,1,5
Srv_PROD_012,4,1,5
Srv_DEV_013,5,0,24
Srv_DEV_013,6,0,24
Srv_UAT_013,5,0,24
Srv_UAT_013,6,0,24
Srv_PROD_013,1,1,5
Srv_PROD_013,2,1,5
Srv_PROD_013,3,1,5
Srv_PROD_013,4,1,5
Srv_DEV_014,5,0,24
Srv_DEV_014,6,0,24
Srv_UAT_014,5,0,24
Srv_UAT_014,6,0,24
Srv_PROD_014,1,1,5
Srv_PROD_014,2,1,5
Srv_PROD_014,3,1,5
Srv_PROD_014,4,1,5
Srv_DEV_015,5,0,24
Srv_DEV_015,6,0,24
Srv_UAT_015,5,0,24
