id,os_name,os_version,rto_hours
Srv_DEV_001,Windows,Server 2022,48
Srv_UAT_001,Windows,Server 2022,12
Srv_PROD_001,Windows,Server 2022,7
Srv_DEV_002,Windows,Server 2022,48
Srv_UAT_002,Windows,Server 2022,12
Srv_PROD_002,Windows,Server 2022,7
Srv_DEV_003,Windows,Server 2022,48
Srv_UAT_003,Windows,Server 2022,3
Srv_PROD_003,Windows,Server 2022,7
Srv_DEV_004,Windows,Server 2022,48
Srv_UAT_004,Windows,Server 2022,12
Srv_PROD_004,Windows,Server 2022,7
Srv_DEV_005,Windows,Server 2022,48
Srv_UAT_005,Windows,Server 2022,12
Srv_PROD_005,Windows,Server 2022,7
Srv_DEV_006,Windows,Server 2022,48
Srv_UAT_006,Windows,Server 2022,12
Srv_PROD_006,Windows,Server 2022,7
Srv_DEV_007,Windows,Server 2022,48
Srv_UAT_007,Windows,Server 2022,12
Srv_PROD_007,Windows,Server 2022,3
Srv_DEV_008,Windows,Server 2022,48
Srv_UAT_008,Windows,Server 2022,12
Srv_PROD_008,Windows,Server 2022,3
Srv_DEV_009,Windows,Server 2022,48
Srv_UAT_009,Windows,Server 2022,12
Srv_PROD_009,Windows,Server 2022,7
Srv_DEV_010,Windows,Server 2022,48
Srv_UAT_010,Windows,Server 2022,3
Srv_PROD_010,Windows,Server 2022,7
Srv_DEV_011,Windows,Server 2022,48
Srv_UAT_011,Windows,Server 2022,12
Srv_PROD_011,Windows,Server 2022,3
Srv_DEV_012,Windows,Server 2022,48
Srv_UAT_012,Windows,Server 2022,12
Srv_PROD_012,Windows,Server 2022,7
Srv_DEV_013,Windows,Server 2022,48
Srv_UAT_013,Windows,Server 2022,12
Srv_PROD_013,Windows,Server 2022,7
Srv_DEV_014,Windows,Server 2022,48
Srv_UAT_014,Windows,Server 2022,12
Srv_PROD_014,Windows,Server 2022,7
Srv_DEV_015,Windows,Server 2022,48
Srv_UAT_015,Windows,Server 2022,12
